sample,theta,beta_out,sigma,bEP,bCP,delta,muEI,muIR,muRS,rho,S_0,E_0,I_0,R_0,sig_obs,loglik,loglik.se,flag,file_id,ll_lowIQ
14,45.0292389374393,0.007024465569979,0.114752103097643,0.154585013630223,-0.170645606980689,0.0166666666666667,16.3079360405903,41.951026028214,2.49049289335845,0.0022044289391881,0.822656111385629,0.0084031260840173,0.0073930226965067,0.161547739833847,0.035827929912881,-2140.75518151449,0.973943754946427,1,881,-2141.412106577201
9,55.1943888500906,0.0032462656435859,0.100924720286971,0.123921290163445,-0.0870638583344878,0.0166666666666667,18.250621873168,52.128596173127,3.04633701322658,0.0022424942081161,0.81768865205336,0.0046870292481324,0.0084156822263517,0.169208636472156,0.0550274344515165,-2140.75764978884,1.08147566695948,1,967,-2141.487105126204
11,39.470881218152,0.0058958757081664,0.0926596837230447,0.181555282314571,-0.0142401206551389,0.0166666666666667,22.9249148932485,39.354484070985,2.41211350145357,0.0036670403049754,0.793286241811373,0.0046239859241341,0.0020843851760796,0.200005387088414,0.0391346778326897,-2140.80465306478,1.77526322588656,1,3254,-2142.0020681106403
19,55.025764729164,0.0031816257753137,0.116623257375408,-0.147057419390459,-0.0565972004647432,0.0166666666666667,15.7127489755369,52.5821385133264,2.11727732723381,0.0037322967103142,0.859828326374255,0.0038705799960538,0.0031336874856123,0.133167406144078,0.0779491661666222,-2140.81061411223,1.77479746796268,1,3021,-2142.0077150043708
16,51.7258821692785,0.0026508517700947,0.110179964493736,0.0864313179117473,-0.0948766863677086,0.0166666666666667,15.7462085246133,44.5543197820669,2.03265413718613,0.0022444484218003,0.841697143308802,0.0076057958133539,0.0067790244752398,0.143918036402604,0.0877790344973957,-2140.82912641394,1.10470054730958,1,748,-2141.5742469331003
4,46.4457069712615,0.0097467690703377,0.0986324480274129,0.16259856479017,-0.0829905963557644,0.0166666666666667,20.7365164985632,43.2176254628437,1.57983445083748,0.0028540608000142,0.872133649296948,0.0066685504725502,0.0036894392292686,0.117508361001233,0.0425317229024384,-2140.83495801099,1.82691193658349,1,1236,-2142.067210112215
17,37.9884100447485,0.0013193602290618,0.112141313997325,0.0089081992373806,-0.0819150899647337,0.0166666666666667,18.5563955204588,34.0565727502824,2.11412776247466,0.0025515486903512,0.864491697612655,0.0089152601021513,0.0045943442925344,0.121998697992659,0.0934892538543517,-2140.8733418862,0.635291494390113,1,1112,-2141.301845999166
16,44.6272582810027,0.0062281951798769,0.104052736281576,-0.106703196066535,-0.126112693368139,0.0166666666666667,17.0860531127674,43.0646797759085,4.29780236069891,0.0022816514465141,0.861195228132982,0.0084586602395324,0.0076853672227555,0.12266074440473,0.101439617783003,-2140.88039518421,1.10499812185634,1,468,-2141.625716417402
19,41.6873852373339,0.0013263170776495,0.103033282985672,0.104140792012919,-0.155573245997475,0.0166666666666667,17.7617524818876,34.5777678742065,0.865760810727027,0.0038645415554438,0.838694561567573,0.0032119064058123,0.0017571127439718,0.156336419282643,0.114642793784804,-2140.92637964622,1.28758083773399,1,397,-2141.7948529212717
2,73.4808403771398,0.004314145510388,0.106199736395496,0.00091076245775942,-0.216536800377282,0.0166666666666667,16.3086143277876,73.9146282872353,1.83431824554712,0.0036822165898084,0.8357524093142,0.0030252458909758,0.0070579046241595,0.154164440170664,0.0572197586564162,-2140.9511813635,1.20994448346717,1,3297,-2141.7672889175983
19,24.4998121678001,0.0030726373767169,0.11320023646383,-0.0123193183649806,-0.0579363795328975,0.0166666666666667,18.5861311817014,22.6366400792545,2.01402158414043,0.0029050068042853,0.837832140729032,0.0056783775535323,0.0018575477989257,0.15463193391851,0.0623390483728248,-2140.96369430306,1.9627173942159,1,3114,-2142.2875471854586
13,51.2121699728839,0.0065300253710715,0.104887415533785,0.0803562392270854,-0.0880037909952621,0.0166666666666667,19.6105598325063,52.1403571903593,0.841168906718207,0.0063043650054225,0.854414648344385,0.0035189610027571,0.0015888838928531,0.140477506760005,0.056958755530822,-2140.97767903789,0.709202795640033,1,1977,-2141.456036323549
6,119.235769551533,0.00024435675945961,0.0989948141309232,0.140221607876826,-0.0903956120423107,0.0166666666666667,15.7925389993563,121.199550746195,1.59611551847487,0.0031631086443711,0.813726943727157,0.0034351034946512,0.0080388602224623,0.17479909255573,0.0841215195044839,-2141.03546055476,1.28647869515472,1,41,-2141.903190434642
16,39.032358231462,0.0026908295088747,0.120825511817616,0.0673965691757155,-0.189992560541003,0.0166666666666667,17.0108853029998,33.7754367663748,1.6619087528747,0.0026181642321992,0.844540342782261,0.0089688021683598,0.0012725001793902,0.145218354869989,0.0835267829342291,-2141.05626579643,0.647799599479332,1,2106,-2141.493206626279
6,83.0333339670799,0.0016236767521548,0.114081247184461,0.0073634764404304,-0.106955997526203,0.0166666666666667,14.5329504241543,77.113892966264,2.10589714216769,0.0022918257522995,0.859572961842076,0.008321852855408,0.0028671087593548,0.129238076543161,0.120176126791673,-2141.06478764212,1.19605226248553,1,2578,-2141.871524893166
8,36.2707649038284,0.0043031916818415,0.117185268345487,-0.0458432123317509,-0.183804394393585,0.0166666666666667,17.8687776548797,29.1707064690676,1.81646534102415,0.00257171930308,0.840746918621503,0.0080567527124421,0.00094418024174145,0.150252148424313,0.0754872754447626,-2141.06489084872,1.86458783246927,1,40,-2142.3225553417205
10,43.3165983943326,0.00010697578017469,0.100881380903575,0.142977619839054,-0.130879868843464,0.0166666666666667,19.38166135608,35.6336626232313,1.46770000493403,0.0025156183024524,0.804124917093356,0.005356235122462,0.0026064999920907,0.187912347792091,0.077291099720076,-2141.06656395124,1.16382345889188,1,1390,-2141.8515628742625
