"parameter","smoothed","quadratic","ci_low","ci_high","mle","span","param_name"
-6.91279098281283,-2165.31290221272,-2168.70379548623,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.90854001216201,-2165.24058456239,-2168.59041897451,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.90428904151119,-2165.16855267329,-2168.47756377865,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.90003807086037,-2165.09680621281,-2168.36522989865,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.89578710020955,-2165.02534484837,-2168.25341733451,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.89153612955873,-2164.95416824735,-2168.14212608624,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.88728515890791,-2164.88327607716,-2168.03135615382,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.88303418825708,-2164.81266800519,-2167.92110753726,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.87878321760626,-2164.74234369884,-2167.81138023657,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.87453224695544,-2164.67230282551,-2167.70217425173,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.87028127630462,-2164.6025450526,-2167.59348958276,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.8660303056538,-2164.5330700475,-2167.48532622965,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.86177933500298,-2164.46387747761,-2167.37768419239,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.85752836435216,-2164.39496701034,-2167.270563471,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.85327739370133,-2164.32633831308,-2167.16396406547,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.84902642305051,-2164.25799105323,-2167.0578859758,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.84477545239969,-2164.18992489819,-2166.95232920199,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.84052448174887,-2164.12213951535,-2166.84729374404,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.83627351109805,-2164.05463457212,-2166.74277960196,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.83202254044723,-2163.98740973588,-2166.63878677573,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.82777156979641,-2163.92046467405,-2166.53531526536,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.82352059914558,-2163.85379905402,-2166.43236507086,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.81926962849476,-2163.78741254318,-2166.32993619221,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.81501865784394,-2163.72130480894,-2166.22802862943,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.81076768719312,-2163.65547551868,-2166.1266423825,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.8065167165423,-2163.58992433983,-2166.02577745144,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.80226574589148,-2163.52465093976,-2165.92543383624,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-6.79801477524066,-2163.45965498588,-2165.8256115369,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
